codigo,ano,mes,ym,profundidade,nivel_piezo,rr,eto,caudal,rr_lag1,rr_lag2,eto_lag1,eto_lag2,caudal_lag1,caudal_lag2
365/233,2007,12,2007-12-01,,,18.800001,1.2138709677419357,113.668,41.0000002,4.4000002,1.86,2.8696774193548387,144.624,305.8693548387097
365/233,2008,1,2008-01-01,,,74.100001,1.3861290322580644,108.87428571428572,18.800001,41.0000002,1.2138709677419357,1.86,113.668,144.624
365/233,2008,2,2008-02-01,,,53.5,1.9617241379310344,159.95499999999998,74.100001,18.800001,1.3861290322580644,1.2138709677419357,108.87428571428572,113.668
365/233,2008,3,2008-03-01,,,33.4000001,2.781290322580645,86.38454545454546,53.5,74.100001,1.9617241379310344,1.3861290322580644,159.95499999999998,108.87428571428572
365/233,2008,4,2008-04-01,,,112.4,3.906,276.9222222222222,33.4000001,53.5,2.781290322580645,1.9617241379310344,86.38454545454546,159.95499999999998
365/233,2008,5,2008-05-01,,,69.9,4.224516129032258,151.0374193548387,112.4,33.4000001,3.906,2.781290322580645,276.9222222222222,86.38454545454546
365/233,2008,6,2008-06-01,,,0.90000004,6.269,147.05366666666666,69.9,112.4,4.224516129032258,3.906,151.0374193548387,276.9222222222222
365/233,2008,7,2008-07-01,,,0.0,6.033870967741936,197.4641935483871,0.90000004,69.9,6.269,4.224516129032258,147.05366666666666,151.0374193548387
365/233,2008,8,2008-08-01,,,0.7,5.348709677419355,216.8761290322581,0.0,0.90000004,6.033870967741936,6.269,197.4641935483871,147.05366666666666
365/233,2008,9,2008-09-01,,,9.0,4.094666666666667,99.53733333333334,0.7,0.0,5.348709677419355,6.033870967741936,216.8761290322581,197.4641935483871
365/233,2008,10,2008-10-01,,,40.1000003,2.658709677419355,45.1058064516129,9.0,0.7,4.094666666666667,5.348709677419355,99.53733333333334,216.8761290322581
365/233,2008,11,2008-11-01,,,30.90000004,1.6366666666666667,39.70366666666666,40.1000003,9.0,2.658709677419355,4.094666666666667,45.1058064516129,99.53733333333334
365/233,2008,12,2008-12-01,,,85.10000124,1.104516129032258,69.94258064516129,30.90000004,40.1000003,1.6366666666666667,2.658709677419355,39.70366666666666,45.1058064516129
365/233,2009,1,2009-01-01,,,118.6000008,1.0793548387096774,136.1309677419355,85.10000124,30.90000004,1.104516129032258,1.6366666666666667,69.94258064516129,39.70366666666666
365/233,2009,2,2009-02-01,,,48.2,1.997142857142857,358.2242857142857,118.6000008,85.10000124,1.0793548387096774,1.104516129032258,136.1309677419355,69.94258064516129
365/233,2009,3,2009-03-01,,,10.6000001,3.3706451612903225,108.16258064516128,48.2,118.6000008,1.997142857142857,1.0793548387096774,358.2242857142857,136.1309677419355
365/233,2009,4,2009-04-01,,,45.6000021,3.6593333333333335,103.90366666666668,10.6000001,48.2,3.3706451612903225,1.997142857142857,108.16258064516128,358.2242857142857
365/233,2009,5,2009-05-01,,,18.8000001,5.450967741935483,105.53967741935485,45.6000021,10.6000001,3.6593333333333335,3.3706451612903225,103.90366666666668,108.16258064516128
